year,delay_cause,delay_mins,percentage_delay
2003,arr_delay,737.0,0.5
2003,carrier_delay,379.0,0.2571
2003,security_delay,0.0,0.0
2003,weather_delay,0.0,0.0
2003,nas_delay,175.0,0.1187
2003,late_aircraft_delay,183.0,0.1242
2004,arr_delay,32536701.0,0.5
2004,carrier_delay,8566638.0,0.1316
2004,security_delay,80121.0,0.0012
2004,weather_delay,1987169.0,0.0305
2004,nas_delay,11860521.0,0.1823
2004,late_aircraft_delay,10042252.0,0.1543
2005,arr_delay,73088112.0,0.5
2005,carrier_delay,18832651.0,0.1288
2005,security_delay,179219.0,0.0012
2005,weather_delay,5037411.0,0.0345
2005,nas_delay,24472923.0,0.1674
2005,late_aircraft_delay,24565908.0,0.1681
2006,arr_delay,76499086.0,0.5
2006,carrier_delay,21441639.0,0.1401
2006,security_delay,141045.0,0.0009
2006,weather_delay,4713790.0,0.0308
2006,nas_delay,24045273.0,0.1572
2006,late_aircraft_delay,26157339.0,0.171
2007,arr_delay,87254490.0,0.5
2007,carrier_delay,24265830.0,0.1391
2007,security_delay,221371.0,0.0013
2007,weather_delay,4854532.0,0.0278
2007,nas_delay,25631913.0,0.1469
2007,late_aircraft_delay,32280844.0,0.185
2008,arr_delay,100962339.0,0.5
2008,carrier_delay,28823369.0,0.1427
2008,security_delay,176946.0,0.0009
2008,weather_delay,5745235.0,0.0285
2008,nas_delay,28216379.0,0.1397
2008,late_aircraft_delay,38000410.0,0.1882
2009,arr_delay,86637334.0,0.5
2009,carrier_delay,24050336.0,0.1388
2009,security_delay,114316.0,0.0007
2009,weather_delay,4634101.0,0.0267
2009,nas_delay,26166530.0,0.151
2009,late_aircraft_delay,31672051.0,0.1828
2010,arr_delay,65942438.0,0.5
2010,carrier_delay,18497109.0,0.1403
2010,security_delay,78826.0,0.0006
2010,weather_delay,3289367.0,0.0249
2010,nas_delay,20197173.0,0.1531
2010,late_aircraft_delay,23879963.0,0.1811
2011,arr_delay,63257609.0,0.5
2011,carrier_delay,19217505.0,0.1519
2011,security_delay,107410.0,0.0008
2011,weather_delay,2785212.0,0.022
2011,nas_delay,16229100.0,0.1283
2011,late_aircraft_delay,24918382.0,0.197
2012,arr_delay,61675938.0,0.5
2012,carrier_delay,18553350.0,0.1504
2012,security_delay,81353.0,0.0007
2012,weather_delay,2558373.0,0.0207
2012,nas_delay,15303226.0,0.1241
2012,late_aircraft_delay,25179636.0,0.2041
2013,arr_delay,56918492.0,0.5
2013,carrier_delay,18165784.0,0.1596
2013,security_delay,73052.0,0.0006
2013,weather_delay,2279859.0,0.02
2013,nas_delay,12829338.0,0.1127
2013,late_aircraft_delay,23570459.0,0.2071
2014,arr_delay,71937365.0,0.5
2014,carrier_delay,21137158.0,0.1469
2014,security_delay,103651.0,0.0007
2014,weather_delay,2974104.0,0.0207
2014,nas_delay,17426674.0,0.1211
2014,late_aircraft_delay,30295778.0,0.2106
2015,arr_delay,70315963.0,0.5
2015,carrier_delay,21258853.0,0.1512
2015,security_delay,65350.0,0.0005
2015,weather_delay,2988669.0,0.0213
2015,nas_delay,16519551.0,0.1175
2015,late_aircraft_delay,29483540.0,0.2097
